tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188377,405.281714,42.944940,0.710138,0.415152,-88.942545,0.926189,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188403,434.160956,49.854134,0.621676,0.621567,14.813384,1.213953,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188414,396.331407,91.294527,8.940143,5.140369,27.495152,144.373884,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188417,390.180244,52.051182,0.455217,0.455097,52.706897,0.650836,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188418,401.800743,78.987212,0.840627,0.840309,35.685250,2.219177,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188436,409.081789,61.020485,0.018130,0.018129,-51.114406,0.001033,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188444,392.257244,65.006901,1.725469,1.722171,-10.643414,9.335407,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188787,46.058113,24.322063,3.232562,1.624213,-61.813397,16.494524,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188790,55.381564,1.027419,1.236927,0.854808,15.982687,3.321713,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188793,19.234809,36.223465,1.941830,1.917992,-2.461208,11.700592,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188794,32.724340,35.679094,0.017487,0.017482,-34.658232,0.000960,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189064,302.901474,4.674720,2.041458,1.635098,26.988654,10.486585,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189067,8.920622,8.184234,3.596124,1.342489,-3.956257,15.166850,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189107,405.221438,5.440085,0.664347,0.664231,5.328782,1.386320,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189118,124.717194,5.176732,2.746145,1.959035,60.477411,16.901125,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189119,136.309005,15.541113,0.300080,0.259731,-6.244106,0.244856,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189120,146.000000,28.000000,12.071728,8.013182,-13.676944,303.895522,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189190,181.239705,30.034633,3.284787,2.493960,43.500237,25.736326,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342189191,174.063921,16.182130,3.113437,1.183268,-19.399868,11.573719,0
